image_path,caption
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/199134.jpg,a couple of men standing in front of a fan on a stage.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/41442.jpg,Two people on motorcycles riding them on dirt.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/31738.jpg,a baseball player throwing a pitch from the mound 
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/427344.jpg,The orange cat is sitting on top of the small television.  
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/375709.jpg,A person by a table with some food.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/93756.jpg,A figure with an umbrella stands in front of a bridge. 
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/482801.jpg,a person with pink hair holding an umbrella in a crowd
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/145290.jpg,A lone straw umbrella sitting in the middle of a dirt field.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/580862.jpg,A surfer crouching low on his board races the surf.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/224029.jpg,The person is getting ready to hit the ball.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/46545.jpg,A green field filled with grazing black and white cattle.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/175565.jpg,A cocker spaniel sitting next to a woman holding a baby. 
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/86715.jpg,Two young men leaping into the air to catch a white frisbee.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/190075.jpg,a person standing on a surfboard while riding a wave.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/92522.jpg,A brown bird is perched on a branch of a tree.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/424300.jpg,A flock of birds flying through a forest.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/26900.jpg,A bus parked on the side of the road with a man getting stuff out of the back.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/476499.jpg,There is a red train at this station on the opposite side
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/55425.jpg,A row of parked motorcycles sitting on the side of a street.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/169395.jpg,A man is looking at an outdoor clock.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/271495.jpg,A man is in the kitchen chopping bell peppers.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/578497.jpg,two  red and white plates with an egg roll rice and other food and some sauces
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/429758.jpg,A couple of birds sitting on top of a rock next to the ocean.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/111417.jpg,a man who is para sailing on the ocean 
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/69878.jpg,A person holding a chicken sandwich in a paper container.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/453582.jpg,A number of kites flying high above a crowd
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/216314.jpg,A person walking in the sand while flying a kite. 
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/232389.jpg,Two pizza pies sitting on a table ready to eat.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/239120.jpg,A table topped with a bowl of food and a drink.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/350534.jpg,A professional baseball player signing a bat at a game.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/480717.jpg,A crowd of people demonstrating with police walking with them. 
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/538537.jpg,A woman pouring a glass of wine on a table.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/171075.jpg,"A room with a chair, pictures, cabinet and boxes."
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/107436.jpg,A cat sitting on an entertainment center while staring at a tv screen.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/263231.jpg,A small bird holding a bug in it's mouth.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/475380.jpg,a dog is pulling on a frisbee with its owner
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/376426.jpg,A couple of carrots sitting next a white dish covered in carrot goo.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/523815.jpg,A man sliding a baking sheet with food on it into the oven.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/401847.jpg,Highway road sign announcing exit ahead for vehicle traffic.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/63230.jpg,A coffee shop with chairs and tables outside of the shop.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/157921.jpg,a couple of elephants are standing in a field
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/175523.jpg,A red food truck with a woman looking at the menu.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/357926.jpg,A clock and a counter in a room.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/378059.jpg,A bear walking around on a rock filled ground.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/467800.jpg,Cross country skiers skiing over snow covered ground.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/126681.jpg,A woman flies a kite at the beach.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/479038.jpg,The large tour bus has red lettering on the side of it. 
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/337158.jpg,"Urinal, toilet paper roll, and sink inside of a bathroom."
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/534694.jpg,A baseball game in progress on a soccer field.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/343872.jpg,Sheep and a woman in a field in front of a cityscape.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/37582.jpg,A couple of grizzly bear fishing for cood in a river.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/271701.jpg,A cheesy pepperoni pizza sitting on top of a metal pan.
/home/swq/Code/Qwen2.5-VL/coco_2014_caption/181474.jpg,Man riding the waves on a surf board.
